NAME,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ADD_VOICEMAIL,android.permission.ANSWER_PHONE_CALLS,android.permission.BODY_SENSORS,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.GET_ACCOUNTS_PRIVILEGED,android.permission.PROCESS_OUTGOING_CALLS,android.permission.READ_CALENDAR,android.permission.READ_CALL_LOG,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_NUMBERS,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_MMS,android.permission.RECEIVE_SMS,android.permission.RECEIVE_WAP_PUSH,android.permission.RECORD_AUDIO,android.permission.SEND_SMS,android.permission.USE_SIP,android.permission.WRITE_CALENDAR,android.permission.WRITE_CALL_LOG,android.permission.WRITE_CONTACTS,android.permission.WRITE_EXTERNAL_STORAGE,com.android.voicemail.permission.ADD_VOICEMAIL,com.android.launcher.permission.UNINSTALL_SHORTCUT,com.google.android.c2dm.permission.RECEIVE,android.permission.FLASHLIGHT,android.permission.BATTERY_STATS,com.android.vending.INTENT_VENDING_ONLY,com.google.android.googleapps.permission.GOOGLE_AUTH,com.ibingo.theme.permission.READ_SETTINGS,android.permission.MANAGE_ACCOUNTS,android.permission.EXPAND_STATUS_BAR,android.permission.INSTALL_SHORTCUT,android.permission.READ_SYNC_SETTINGS,com.google.android.providers.gsf.permission.WRITE_GSERVICES,com.majeur.launcher.permission.UPDATE_BADGE,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,com.google.android.providers.talk.permission.WRITE_ONLY,com.gbooking.googleupdater.permission.C2D_MESSAGE,android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,android.permission.BROADCAST_STICKY,android.permission.RESTART_PACKAGES,com.ibingo.dps.permission.WRITE_SETTINGS,com.google.android.providers.talk.permission.READ_ONLY,android.permission.CHANGE_CONFIGURATION,com.android.launcher.permission.INSTALL_SHORTCUT,android.permission.CHANGE_WIFI_STATE,com.anddoes.launcher.permission.UPDATE_COUNT,com.htc.launcher.permission.READ_SETTINGS,android.permission.ACCESS_DOWNLOAD_MANAGER,com.ibingo.launcher3.permission.RECEIVE_FIRST_LOAD_BROADCAST,android.permission.REAL_GET_TASKS,android.permission.SET_WALLPAPER,android.permission.NFC,com.huawei.android.launcher.permission.READ_SETTINGS,android.permission.USE_CREDENTIALS,android.permission.CHANGE_COMPONENT_ENABLED_STATE,rockchip.permission.FULL_SCREEN,com.htc.launcher.permission.UPDATE_SHORTCUT,android.permission.PACKAGE_USAGE_STATS,com.sec.android.provider.badge.permission.READ,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.play.app.services.permission.C2D_MESSAGE,android.permission.READ_APP_BADGE,android.permission.WRITE_SYNC_SETTINGS,android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,android.permission.WRITE_SETTINGS,com.huawei.android.launcher.permission.CHANGE_BADGE,com.app.bestwallblack.permission.C2D_MESSAGE,android.permission.RECEIVE_BOOT_COMPLETED,com.wallypi.pepers.permission.C2D_MESSAGE,com.sec.android.provider.badge.permission.WRITE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.ACTIVITY_RECOGNITION,com.google.android.launcher.permission.WRITE_SETTINGS,android.permission.STATUS_BAR,android.permission.READ_LOGS,android.permission.VIBRATE,android.permission.WRITE_SECURE_SETTINGS,android.permission.SYSTEM_OVERLAY_WINDOW,android.permission.BLUETOOTH_ADMIN,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,android.permission.INSTALL_PACKAGES,android.permission.SET_TIME_ZONE,android.permission.DISABLE_KEYGUARD,android.permission.ADD_SYSTEM_SERVICE,com.oppo.launcher.permission.READ_SETTINGS,android.permission.GET_TASKS,com.oppo.launcher.permission.WRITE_SETTINGS,android.hardware.camera,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.READ_PROFILE,android.permission.WAKE_LOCK,android.permission.REORDER_TASKS,com.android.launcher.permission.READ_SETTINGS,com.android.vending.billing.IN_APP_NOTIFY.permission.C2D_MESSAGE,android.permission.CHANGE_NETWORK_STATE,com.ibingo.theme.permission.WRITE_SETTINGS,android.permission.SET_PREFERRED_APPLICATIONS,com.google.android.providers.gsf.permission.READ_GSERVICES,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.BLUETOOTH,android.permission.ACCESS_NETWORK_STATE,com.ibingo.dps.permission.READ_SETTINGS,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.MODIFY_PHONE_STATE,com.google.android.gms.permission.AD_ID_NOTIFICATION,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.ACCESS_WIFI_STATE,android.permission.RECEIVE_USER_PRESENT,com.android.alarm.permission.SET_ALARM,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.WRITE_SMS,android.permission.DELETE_PACKAGES,android.permission.SET_WALLPAPER_HINTS,android.permission.CLEAR_APP_CACHE,android.permissions.MANAGE_USERS,com.ovs.theme.slicers.permission.C2D_MESSAGE,android.permission.BIND_APPWIDGET,com.ibingo.launcher3.permission.READ_SETTINGS,com.ibingo.launcher3.permission.RECEIVE_LAUNCH_BROADCASTS,android.permission.REBOOT,com.google.android.launcher.permission.READ_SETTINGS,me.everything.badger.permission.BADGE_COUNT_WRITE,com.android.launcher.permission.WRITE_SETTINGS,com.google.android.googleapps.permission.GOOGLE_AUTH.OTHER_SERVICES,com.android.browser.permission.READ_HISTORY_BOOKMARKS,android.permission.PROCESS_INCOMING_CALLS,android.permission.DEVICE_POWER,android.permission.STORAGE,android.permission.WRITE_APN_SETTINGS,android.permission.SYSTEM_ALERT_WINDOW,com.ibingo.launcher3.permission.WRITE_SETTINGS,com.android.vending.BILLING,CLASS
03eef67a161fc2539989624f50bb44f646684d43f7df9ef6aed9c43083a56bdc.apk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0a8298d77996ec1d2d7377db29e749708b21fb3ad1a01b76cab50e7808f82d60.apk,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
102ae804e33828240ea3418db5dbb95158a798b36321b5acbd240de38896a97e.apk,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10e92370bd69ba959076e6746996957b09a3ac599b95f90944f54ee0c76369ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11328e2696879f6e1f2e6b8f9af7d634f21ea8022546cf00c3b6f434c0d1ab28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2273af79cae07c3d0d07eb4d3f30d60c.apk,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
28612e3c18f179d125f97443ba194e13d6ac635c,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2f5c25a43b1069c08edb535113bbdd9d8e79fc9d632d7290e6b9dd8fac8af59b.apk,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
32.apk,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
321fa7b2e8d519670ebfbe2a652eef6f41d5b3a1625a9bc48244b1d585c4c791,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34190a5f834c1f61f825f80e80a391345a509c3ed45cf7a4adeedde946f8d42e.apk,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1
35027baae5178b5642dd6fa17857ff51.apk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3a64e83078fb1a81dccab4d6b2e4d9f057890a73804a7d614ac548cf1d6f348b.apk,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
3c61db59331d82f4b93cbf9c0711dc82ad8bff17aafa59dfb210f762d6e20145.apk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4373399d2c811d005277ef6811cc41e4a92a60505d88d7ac91f2f08752ce2ff0.apk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57eb0919e5b8eee24547f74cb2a1562780ecb00c,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
586483b056ee6cf9b12178805811d4ff5cf0798e935dfc94e866387e19d65824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
